ticker,company_name,bucket,current_price,bear_value,base_value,bull_value,mos_required,base_mos_buy_zone,base_upside_downside,bull_upside_downside,final_view,key_reason,update_trigger
HEROMOTOCO.NS,Hero MotoCorp,Core Value / Quality,5288,2707,4170,6041,25%,3128,-21.14%,14.24%,Watchlist / Quality Business - Not base-case MOS candidate,Quality franchise but current price is above base DCF and far above MOS zone,FY26 audited annual report and EV/premium/export execution update
FIEMIND.NS,Fiem Industries,Growth Satellite,2236,562,1092,1774,25%,819,-51.16%,-20.66%,Watchlist / Quality Growth Business - Not base-case MOS candidate,Good auto ancillary business but valuation is above conservative DCF range,FY26 audited cash flow and margin durability evidence
NATCOPHARM.NS,Natco Pharma,Core Value / Quality,1091.5,604,1077,1751,25%,808,-1.33%,60.42%,Watchlist / Special-Situation Pharma Candidate - Not base-case MOS candidate,Base value close to price but bull case depends on product/pipeline execution,FY26 audited results and pipeline/semaglutide commercialization update
NATIONALUM.NS,NALCO,Core Value / Cyclical,417,118,237,412,35%,154,-43.17%,-1.20%,Watchlist / Cyclical Quality PSU - Not base-case MOS candidate,Current price close to bull commodity-cycle value not normalized base value,FY26 audited results and aluminium/alumina cycle refresh
HINDZINC.NS,Hindustan Zinc,Core Quality / Commodity,614,159,316,597,35%,205,-48.53%,-2.77%,Watchlist / High-Quality Commodity Dividend Business - Not base-case MOS candidate,High quality commodity business but price reflects strong zinc/silver cycle,FY26 audited results and zinc/silver price cycle update
CHENNPETRO.NS,CPCL,Deep Value / Cyclical,1094,288,975,2615,40%,585,-10.88%,139.03%,Watchlist / Deep Cyclical Refining Candidate - Not base-case MOS candidate,Bull case attractive but depends on sustained strong GRMs,FY26 audited cash flow working capital and GRM update
SHARDACROP.NS,Sharda Cropchem,Core Value / Midcap,1033,332,962,1888,30%,673,-6.87%,82.77%,Watchlist / Agrochemical Recovery Candidate - Not base-case MOS candidate,Recovery is strong but working-capital and agrochemical cycle risk remain,FY26 audited CFO/capex receivables inventory and registration pipeline update
TIMETECHNO.NS,Time Technoplast,Growth Satellite,195,90,215,364,30%,151,10.26%,86.67%,Watchlist / Value-Added Industrial Growth Candidate - Not base-case MOS candidate,Base upside exists but required MOS is absent; bull case depends on composite/value-added scale-up,FY26 audited CFO/capex QIP deployment and composite-cylinder order update
FORCEMOT.NS,Force Motors,Growth / Cyclical,22000,5254,14670,31750,35%,9536,-33.32%,44.32%,Watchlist / Cyclical Auto Growth Candidate - Not base-case MOS candidate,Strong growth but current price assumes sustained margin step-up,FY26 audited results exceptional-item reconciliation and platform demand update
TRITURBINE.NS,Triveni Turbine,Quality Growth,580,236,478,786,25%,359,-17.59%,35.52%,Watchlist / High-Quality Capital Goods Compounder - Not base-case MOS candidate,High quality but current valuation already prices meaningful growth,FY26 audited cash flow order conversion export/aftermarket mix update
