company_name,primary_peer_group,peer_1,peer_2,peer_3,peer_4,peer_5,key_peer_metrics,peer_analysis_status,next_step
Hero MotoCorp,Two-wheeler OEMs,Bajaj Auto,TVS Motor,Eicher Motors,Honda Motorcycle and Scooter India,Ola Electric/Ather for EV context,"Revenue growth; EBITDA margin; ROCE; PE; EV/EBITDA; dividend yield; EV market share; exports",Framework complete; numerical table pending,Add live peer multiples and margins from latest filings
Fiem Industries,Auto ancillary lighting and components,Uno Minda,Lumax Industries,Minda Corporation,Suprajit Engineering,Endurance Technologies,"Revenue growth; EBITDA margin; ROCE; debt; PE; EV/EBITDA; customer concentration; EV exposure",Framework complete; numerical table pending,Add peer operating and valuation multiples
Natco Pharma,Indian pharma and complex generics,Dr Reddy's,Sun Pharma,Cipla,Lupin,Ajanta Pharma/Granules/Laurus/Divi's,"Revenue growth; EBITDA margin; R&D as sales; ROCE; PE; EV/EBITDA; CFO/PAT; product concentration",Framework complete; numerical table pending,Add pharma peer table and pipeline comparison
NALCO,Aluminium and metals,Hindalco,Vedanta,Hindustan Zinc,Alcoa,Norsk Hydro,"EBITDA margin; ROCE; net debt/EBITDA; PE; EV/EBITDA; dividend yield; commodity exposure; capex",Framework complete; numerical table pending,Add normalized commodity-cycle peer table
Hindustan Zinc,Zinc lead silver and mining,NALCO,Hindalco,Vedanta,Global zinc miners,Silver-exposed miners,"EBITDA margin; ROCE; net debt/EBITDA; PE; EV/EBITDA; dividend yield; silver contribution; capex",Framework complete; numerical table pending,Add metal price sensitivity and peer multiples
CPCL,Refiners and oil marketing companies,Indian Oil,BPCL,HPCL,MRPL,Reliance refining segment,"GRM; throughput; EBITDA margin; net debt/EBITDA; PE; EV/EBITDA; dividend yield; working capital",Framework complete; numerical table pending,Add refinery peer GRM and valuation table
Sharda Cropchem,Agrochemicals and crop protection,UPL,PI Industries,Bayer CropScience,Dhanuka Agritech,Rallis India/Sumitomo Chemical,"Revenue growth; gross margin; EBITDA margin; ROCE; working capital days; PE; EV/EBITDA; registration pipeline",Framework complete; numerical table pending,Add agrochemical peer cycle and valuation table
Time Technoplast,Industrial packaging and polymer products,Mold-Tek Packaging,Hitech Corporation,EPL,Nilkamal,Supreme Industries,"Revenue growth; EBITDA margin; ROCE; debt; CFO/PAT; capex intensity; PE; EV/EBITDA; value-added mix",Framework complete; numerical table pending,Add packaging/industrial products peer table
Force Motors,Commercial vehicles and niche auto,Ashok Leyland,Tata Motors CV,Mahindra and Mahindra,Eicher/VECV,SML Isuzu,"Revenue growth; EBITDA margin; ROCE; debt; CFO/PAT; PE; EV/EBITDA; volumes; export contribution",Framework complete; numerical table pending,Add auto-cycle peer table and normalized earnings comparison
Triveni Turbine,Capital goods and industrial equipment,Thermax,Siemens India,ABB India,Cummins India,BHEL/Kirloskar context,"Revenue growth; EBITDA margin; ROCE; order book; exports; aftermarket share; PE; EV/EBITDA; FCF conversion",Framework complete; numerical table pending,Add capital-goods peer valuation and order-book table
